LP.,wojewodztwo,powiat,gmina,typ gminy,"typ
jednostki",KESO,razem,MRiPS,MSWIA,MZ,MEiN,MKDNiS,razem_kontynuowane,MRiPS_kontynuowane,MSWIA_kontynuowane,MZ_kontynuowane,MEiN_kontynuowane,MKDNiS],razem_wypelnione,MRiPS_wypelnione,MSWIA_wypelnione,MZ_wypelnione,MEiN_wypelnione,MKDNiS_wypelnione,razem_rodzin_ogolem,MRiPS_rodzin_ogolem,MSWIA_rodzin_ogolem,MZ_rodzin_ogolem,MEiN_rodzin_ogolem,MKDNiS_rodzin_ogolem,razem_rodzin_psychiczna,MRiPS_rodzin_psychiczna,MSWIA_rodzin_psychiczna,MZ_rodzin_psychiczna,MEiN_rodzin_psychiczna,MKDNiS_rodzin_psychiczna,razem_rodzin_fizyczna,MRiPS_rodzin_fizyczna,MSWIA_rodzin_fizyczna,MZ_rodzin_fizyczna,MEiN_rodzin_fizyczna,MKDNiS_rodzin_fizyczna,razem_rodzin_seksualna,MRiPS_rodzin_seksualna,MSWIA_rodzin_seksualna,MZ_rodzin_seksualna,MEiN_rodzin_seksualna,MKDNiS_rodzin_seksualna,razem_osob,MRiPS_osob,MSWIA_osob,MZ_osob,MEiN_osob,MKDNiS_osob,razem_ogolem,MRiPS_ogolem,MSWIA_ogolem,MZ_ogolem,MEiN_ogolem,MKDNiS_ogolem,razem_kobiety_ogolem,MRiPS_kobiety_ogolem,MSWIA_kobiety_ogolem,MZ_kobiety_ogolem,MEiN_kobiety_ogolem,MKDNiS_kobiety_ogolem,razem_kobiety_niepelnosprawne,MRiPS_kobiety_niepelnosprawne,MSWIA_kobiety_niepelnosprawne,MZ_kobiety_niepelnosprawne,MEiN_kobiety_niepelnosprawne,MKDNiS_kobiety_niepelnosprawne,razem_kobiety_starsze,MRiPS_kobiety_starsze,MSWIA_kobiety_starsze,MZ_kobiety_starsze,MEiN_kobiety_starsze,MKDNiS_kobiety_starsze,razem_mezczyzni_ogolem,MRiPS_mezczyzni_ogolem,MSWIA_mezczyzni_ogolem,MZ_mezczyzni_ogolem,MEiN_mezczyzni_ogolem,MKDNiS_mezczyzni_ogolem,razem_mezczyzni_niepelnosprawni,MRiPS_mezczyzni_niepelnosprawni,MSWIA_mezczyzni_niepelnosprawni,MZ_mezczyzni_niepelnosprawni,MEiN_mezczyzni_niepelnosprawni,MKDNiS_mezczyzni_niepelnosprawni,razem_mezczyzni_starsi,MRiPS_mezczyzni_starsi,MSWIA_mezczyzni_starsi,MZ_mezczyzni_starsi,MEiN_mezczyzni_starsi,MKDNiS_mezczyzni_starsi,razem_dzieci_ogolem,MRiPS_dzieci_ogolem,MSWIA_dzieci_ogolem,MZ_dzieci_ogolem,MEiN_dzieci_ogolem,MKDNiS_dzieci_ogolem,razem_dzieci_dziewczynki,MRiPS_dzieci_dziewczynki,MSWIA_dzieci_dziewczynki,MZ_dzieci_dziewczynki,MEiN_dzieci_dziewczynki,MKDNiS_dzieci_dziewczynki,razem_dzieci_chlopcy,MRiPS_dzieci_chlopcy,MSWIA_dzieci_chlopcy,MZ_dzieci_chlopcy,MEiN_dzieci_chlopcy,MKDNiS_dzieci_chlopcy,razem_dzieci_niepelnosprawne,MRiPS_dzieci_niepelnosprawne,MSWIA_dzieci_niepelnosprawne,MZ_dzieci_niepelnosprawne,MEiN_dzieci_niepelnosprawne,MKDNiS_dzieci_niepelnosprawne,razem_formularze_C,MRiPS_formularze_C,MSWIA_formularze_C,MZ_formularze_C,MEiN_formularze_C,MKDNiS_formularze_C
1,-,-,-,-,MKiDN,040000000000,33,X,X,X,X,33,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
2,-,-,-,-,MSW,020000000000,64250,X,64250,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
3,-,-,-,-,MZ,010000000000,1138,X,X,1138,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
4,dolnośląskie,-,-,-,WPS,100200000000,7329,7329,X,X,X,X,4670,4670,X,X,X,X,2376,2376,X,X,X,X,10963,10963,X,X,X,X,8637,8637,X,X,X,X,7376,7376,X,X,X,X,148,148,X,X,X,X,27597,27597,X,X,X,X,16938,16938,X,X,X,X,9486,9486,X,X,X,X,479,479,X,X,X,X,1482,1482,X,X,X,X,2739,2739,X,X,X,X,198,198,X,X,X,X,525,525,X,X,X,X,4713,4713,X,X,X,X,2394,2394,X,X,X,X,2236,2236,X,X,X,X,137,137,X,X,X,X,4728,4728,X,X,X,X
5,dolnośląskie,bolesławiecki,Bolesławiec,miejska,OPS,300201011000,118,118,X,X,X,X,40,40,X,X,X,X,49,49,X,X,X,X,158,158,X,X,X,X,9,9,X,X,X,X,150,150,X,X,X,X,4,4,X,X,X,X,453,453,X,X,X,X,256,256,X,X,X,X,152,152,X,X,X,X,0,0,X,X,X,X,42,42,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,98,98,X,X,X,X,57,57,X,X,X,X,41,41,X,X,X,X,0,0,X,X,X,X,118,118,X,X,X,X
6,dolnośląskie,bolesławiecki,Bolesławiec,wiejska,OPS,300201022000,33,33,X,X,X,X,2,2,X,X,X,X,7,7,X,X,X,X,28,28,X,X,X,X,5,5,X,X,X,X,25,25,X,X,X,X,1,1,X,X,X,X,63,63,X,X,X,X,36,36,X,X,X,X,30,30,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,3,3,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,28,28,X,X,X,X
7,dolnośląskie,bolesławiecki,Gromadka,wiejska,OPS,300201032000,19,19,X,X,X,X,5,5,X,X,X,X,2,2,X,X,X,X,12,12,X,X,X,X,0,0,X,X,X,X,12,12,X,X,X,X,0,0,X,X,X,X,33,33,X,X,X,X,10,10,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,6,6,X,X,X,X,4,4,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,9,9,X,X,X,X
8,dolnośląskie,bolesławiecki,Nowogrodziec,miejsko-wiejska,OPS,300201043000,41,41,X,X,X,X,18,18,X,X,X,X,59,59,X,X,X,X,61,61,X,X,X,X,48,48,X,X,X,X,34,34,X,X,X,X,1,1,X,X,X,X,153,153,X,X,X,X,92,92,X,X,X,X,53,53,X,X,X,X,2,2,X,X,X,X,11,11,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,36,36,X,X,X,X,16,16,X,X,X,X,20,20,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X
9,dolnośląskie,bolesławiecki,Osiecznica,wiejska,OPS,300201052000,10,10,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,11,11,X,X,X,X,7,7,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,16,16,X,X,X,X,16,16,X,X,X,X,10,10,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X
10,dolnośląskie,bolesławiecki,Warta Bolesławiecka,wiejska,OPS,300201062000,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X
