LP.,wojewodztwo,powiat,gmina,typ gminy,"typ
jednostki",KESO,razem,MRiPS,MSWIA,MZ,MEiN,MKDNiS
1,-,-,-,-,MKiDN,040000000000,X,X,X,X,X,X
2,-,-,-,-,MSW,020000000000,X,X,X,X,X,X
3,-,-,-,-,MZ,010000000000,X,X,X,X,X,X
4,dolnośląskie,-,-,-,WPS,100200000000,7376,7376,X,X,X,X
5,dolnośląskie,bolesławiecki,Bolesławiec,miejska,OPS,300201011000,150,150,X,X,X,X
6,dolnośląskie,bolesławiecki,Bolesławiec,wiejska,OPS,300201022000,25,25,X,X,X,X
7,dolnośląskie,bolesławiecki,Gromadka,wiejska,OPS,300201032000,12,12,X,X,X,X
8,dolnośląskie,bolesławiecki,Nowogrodziec,miejsko-wiejska,OPS,300201043000,34,34,X,X,X,X
9,dolnośląskie,bolesławiecki,Osiecznica,wiejska,OPS,300201052000,4,4,X,X,X,X
10,dolnośląskie,bolesławiecki,Warta Bolesławiecka,wiejska,OPS,300201062000,0,0,X,X,X,X
11,dolnośląskie,dzierżoniowski,Bielawa,miejska,OPS,300202011000,96,96,X,X,X,X
12,dolnośląskie,dzierżoniowski,Dzierżoniów,miejska,OPS,300202021000,72,72,X,X,X,X
13,dolnośląskie,dzierżoniowski,Dzierżoniów,wiejska,OPS,300202052000,27,27,X,X,X,X
14,dolnośląskie,dzierżoniowski,Łagiewniki,wiejska,OPS,300202062000,11,11,X,X,X,X
15,dolnośląskie,dzierżoniowski,Niemcza,miejsko-wiejska,OPS,300202073000,0,0,X,X,X,X
16,dolnośląskie,dzierżoniowski,Pieszyce,miejsko-wiejska,OPS,300202031000,8,8,X,X,X,X
17,dolnośląskie,dzierżoniowski,Piława Górna,miejska,OPS,300202041000,14,14,X,X,X,X
18,dolnośląskie,głogowski,Głogów,miejska,OPS,300203011000,81,81,X,X,X,X
19,dolnośląskie,głogowski,Głogów,wiejska,OPS,300203022000,22,22,X,X,X,X
20,dolnośląskie,głogowski,Jerzmanowa,wiejska,OPS,300203032000,13,13,X,X,X,X
21,dolnośląskie,głogowski,Kotla,wiejska,OPS,300203042000,26,26,X,X,X,X
22,dolnośląskie,głogowski,Pęcław,wiejska,OPS,300203052000,8,8,X,X,X,X
23,dolnośląskie,głogowski,Żukowice,wiejska,OPS,300203062000,3,3,X,X,X,X
24,dolnośląskie,górowski,Góra,miejsko-wiejska,OPS,300204013000,93,93,X,X,X,X
25,dolnośląskie,górowski,Jemielno,wiejska,OPS,300204022000,6,6,X,X,X,X
26,dolnośląskie,górowski,Niechlów,wiejska,OPS,300204032000,23,23,X,X,X,X
27,dolnośląskie,górowski,Wąsosz,miejsko-wiejska,OPS,300204043000,31,31,X,X,X,X
28,dolnośląskie,jaworski,Bolków,miejsko-wiejska,OPS,300205023000,32,32,X,X,X,X
29,dolnośląskie,jaworski,Jawor,miejska,OPS,300205011000,76,76,X,X,X,X
30,dolnośląskie,jaworski,Męcinka,wiejska,OPS,300205032000,11,11,X,X,X,X
31,dolnośląskie,jaworski,Mściwojów,wiejska,OPS,300205042000,9,9,X,X,X,X
32,dolnośląskie,jaworski,Paszowice,wiejska,OPS,300205052000,1,1,X,X,X,X
33,dolnośląskie,jaworski,Wądroże Wielkie,wiejska,OPS,300205062000,13,13,X,X,X,X
34,dolnośląskie,m. Jelenia Góra,M. Jelenia Góra,miejska,MOPR,250261011000,110,110,X,X,X,X
35,dolnośląskie,kamiennogórski,Kamienna Góra,miejska,OPS,300207011000,84,84,X,X,X,X
36,dolnośląskie,kamiennogórski,Kamienna Góra,wiejska,OPS,300207022000,32,32,X,X,X,X
37,dolnośląskie,kamiennogórski,Lubawka,miejsko-wiejska,OPS,300207033000,36,36,X,X,X,X
38,dolnośląskie,kamiennogórski,Marciszów,wiejska,OPS,300207042000,10,10,X,X,X,X
39,dolnośląskie,karkonoski,Janowice Wielkie,wiejska,OPS,300206052000,2,2,X,X,X,X
40,dolnośląskie,karkonoski,Jeżów Sudecki,wiejska,OPS,300206062000,10,10,X,X,X,X
41,dolnośląskie,karkonoski,Karpacz,miejska,OPS,300206011000,8,8,X,X,X,X
42,dolnośląskie,karkonoski,Kowary,miejska,OPS,300206021000,46,46,X,X,X,X
43,dolnośląskie,karkonoski,Mysłakowice,wiejska,OPS,300206072000,23,23,X,X,X,X
44,dolnośląskie,karkonoski,Piechowice,miejska,OPS,300206031000,7,7,X,X,X,X
45,dolnośląskie,karkonoski,Podgórzyn,wiejska,OPS,300206082000,23,23,X,X,X,X
46,dolnośląskie,karkonoski,Stara Kamienica,wiejska,OPS,300206092000,11,11,X,X,X,X
47,dolnośląskie,karkonoski,Szklarska Poręba,miejska,OPS,300206041000,16,16,X,X,X,X
48,dolnośląskie,kłodzki,Bystrzyca Kłodzka,miejsko-wiejska,OPS,300208063000,42,42,X,X,X,X
49,dolnośląskie,kłodzki,Duszniki-Zdrój,miejska,OPS,300208011000,10,10,X,X,X,X
50,dolnośląskie,kłodzki,Kłodzko,miejska,OPS,300208021000,96,96,X,X,X,X
51,dolnośląskie,kłodzki,Kłodzko,wiejska,OPS,300208072000,18,18,X,X,X,X
52,dolnośląskie,kłodzki,Kudowa-Zdrój,miejska,OPS,300208031000,43,43,X,X,X,X
53,dolnośląskie,kłodzki,Lądek-Zdrój,miejsko-wiejska,OPS,300208083000,25,25,X,X,X,X
54,dolnośląskie,kłodzki,Lewin Kłodzki,wiejska,OPS,300208092000,7,7,X,X,X,X
55,dolnośląskie,kłodzki,Międzylesie,miejsko-wiejska,OPS,300208103000,4,4,X,X,X,X
56,dolnośląskie,kłodzki,Nowa Ruda,miejska,OPS,300208041000,39,39,X,X,X,X
57,dolnośląskie,kłodzki,Nowa Ruda,wiejska,OPS,300208112000,31,31,X,X,X,X
58,dolnośląskie,kłodzki,Polanica-Zdrój,miejska,OPS,300208051000,14,14,X,X,X,X
59,dolnośląskie,kłodzki,Radków,miejsko-wiejska,OPS,300208123000,10,10,X,X,X,X
60,dolnośląskie,kłodzki,Stronie Śląskie,miejsko-wiejska,OPS,300208133000,17,17,X,X,X,X
61,dolnośląskie,kłodzki,Szczytna,miejsko-wiejska,OPS,300208143000,10,10,X,X,X,X
62,dolnośląskie,m. Legnica,M. Legnica,miejska,MOPR,250262011000,316,316,X,X,X,X
63,dolnośląskie,legnicki,Chojnów,miejska,OPS,300209011000,12,12,X,X,X,X
64,dolnośląskie,legnicki,Chojnów,wiejska,OPS,300209022000,11,11,X,X,X,X
65,dolnośląskie,legnicki,Krotoszyce,wiejska,OPS,300209032000,7,7,X,X,X,X
66,dolnośląskie,legnicki,Kunice,wiejska,OPS,300209042000,18,18,X,X,X,X
67,dolnośląskie,legnicki,Legnickie Pole,wiejska,OPS,300209052000,14,14,X,X,X,X
68,dolnośląskie,legnicki,Miłkowice,wiejska,OPS,300209062000,10,10,X,X,X,X
69,dolnośląskie,legnicki,Prochowice,miejsko-wiejska,OPS,300209073000,26,26,X,X,X,X
70,dolnośląskie,legnicki,Ruja,wiejska,OPS,300209082000,8,8,X,X,X,X
71,dolnośląskie,lubański,Leśna,miejsko-wiejska,OPS,300210033000,31,31,X,X,X,X
72,dolnośląskie,lubański,Lubań,miejska,OPS,300210011000,17,17,X,X,X,X
73,dolnośląskie,lubański,Lubań,wiejska,OPS,300210042000,15,15,X,X,X,X
74,dolnośląskie,lubański,Olszyna,miejsko-wiejska,OPS,300210052000,21,21,X,X,X,X
75,dolnośląskie,lubański,Platerówka,wiejska,OPS,300210062000,6,6,X,X,X,X
76,dolnośląskie,lubański,Siekierczyn,wiejska,OPS,300210072000,10,10,X,X,X,X
77,dolnośląskie,lubański,Świeradów-Zdrój,miejska,OPS,300210021000,1,1,X,X,X,X
78,dolnośląskie,lubiński,Lubin,miejska,OPS,300211011000,254,254,X,X,X,X
79,dolnośląskie,lubiński,Lubin,wiejska,OPS,300211022000,39,39,X,X,X,X
80,dolnośląskie,lubiński,Rudna,wiejska,OPS,300211032000,32,32,X,X,X,X
81,dolnośląskie,lubiński,Ścinawa,miejsko-wiejska,OPS,300211043000,13,13,X,X,X,X
82,dolnośląskie,lwówecki,Gryfów Śląski,miejsko-wiejska,OPS,300212013000,37,37,X,X,X,X
83,dolnośląskie,lwówecki,Lubomierz,miejsko-wiejska,OPS,300212023000,18,18,X,X,X,X
84,dolnośląskie,lwówecki,Lwówek Śląski,miejsko-wiejska,OPS,300212033000,32,32,X,X,X,X
85,dolnośląskie,lwówecki,Mirsk,miejsko-wiejska,OPS,300212043000,18,18,X,X,X,X
86,dolnośląskie,lwówecki,Wleń,miejsko-wiejska,OPS,300212053000,16,16,X,X,X,X
87,dolnośląskie,milicki,Cieszków,wiejska,OPS,300213012000,5,5,X,X,X,X
88,dolnośląskie,milicki,Krośnice,wiejska,OPS,300213022000,17,17,X,X,X,X
89,dolnośląskie,milicki,Milicz,miejsko-wiejska,OPS,300213033000,28,28,X,X,X,X
90,dolnośląskie,oleśnicki,Bierutów,miejsko-wiejska,OPS,300214023000,31,31,X,X,X,X
91,dolnośląskie,oleśnicki,Dobroszyce,wiejska,OPS,300214032000,30,30,X,X,X,X
