woj,pow,rok,keso,liczba_proc_nk_a,liczba_proc_nk_c,rodziny_wszczete,liczba_osob_ogol,liczba_osob_kobiety,liczba_osob_mezczyzni,liczba_osob_dzieci
dolnośląskie,bolesławiecki,2023,300201011000,42,181.0,383.0,493.0,294.0,95.0,104.0
dolnośląskie,dzierżoniowski,2023,300202011000,65,132.0,291.0,402.0,216.0,26.0,160.0
dolnośląskie,górowski,2023,300204013000,23,56.0,125.0,273.0,211.0,23.0,39.0
dolnośląskie,głogowski,2023,200203000000,36,199.0,428.0,770.0,333.0,72.0,365.0
dolnośląskie,jaworski,2023,300205023000,12,59.0,119.0,123.0,93.0,8.0,22.0
dolnośląskie,kamiennogórski,2023,300207011000,26,137.0,171.0,285.0,130.0,27.0,128.0
dolnośląskie,karkonoski,2023,300206052000,41,83.0,165.0,195.0,111.0,23.0,61.0
dolnośląskie,kłodzki,2023,300208063000,53,312.0,465.0,500.0,275.0,52.0,173.0
dolnośląskie,legnicki,2023,300209011000,10,94.0,144.0,236.0,145.0,15.0,76.0
dolnośląskie,lubański,2023,300210033000,21,86.0,127.0,196.0,91.0,22.0,83.0
dolnośląskie,lubiński,2023,300211011000,60,172.0,429.0,620.0,348.0,66.0,206.0
dolnośląskie,lwówecki,2023,300212013000,18,94.0,145.0,260.0,120.0,29.0,111.0
dolnośląskie,m. Jelenia Góra,2023,250261011000,32,55.0,190.0,198.0,105.0,39.0,54.0
dolnośląskie,m. Legnica,2023,250262011000,49,90.0,358.0,531.0,293.0,38.0,200.0
dolnośląskie,m. Wałbrzych,2023,250265011000,61,155.0,424.0,476.0,286.0,25.0,165.0
dolnośląskie,m. Wrocław,2023,250264011000,264,624.0,2350.0,4223.0,1931.0,592.0,1700.0
dolnośląskie,milicki,2023,300213012000,8,54.0,70.0,79.0,54.0,9.0,16.0
dolnośląskie,oleśnicki,2023,300214023000,66,132.0,283.0,503.0,236.0,93.0,174.0
dolnośląskie,oławski,2023,300215022000,34,94.0,224.0,461.0,194.0,101.0,166.0
dolnośląskie,polkowicki,2023,300216013000,31,145.0,288.0,525.0,314.0,34.0,177.0
dolnośląskie,strzeliński,2023,300217012000,30,47.0,146.0,340.0,140.0,46.0,154.0
dolnośląskie,trzebnicki,2023,300220013000,33,266.0,370.0,357.0,216.0,34.0,107.0
dolnośląskie,wałbrzyski,2023,300221011000,53,88.0,149.0,234.0,125.0,20.0,89.0
dolnośląskie,wołowski,2023,300222013000,12,79.0,83.0,114.0,57.0,7.0,50.0
dolnośląskie,wrocławski,2023,300223012000,59,297.0,557.0,804.0,417.0,136.0,251.0
dolnośląskie,zgorzelecki,2023,300225033000,25,110.0,228.0,316.0,145.0,55.0,116.0
dolnośląskie,ząbkowicki,2023,300224013000,13,126.0,164.0,308.0,134.0,73.0,101.0
dolnośląskie,złotoryjski,2023,300226032000,7,74.0,128.0,292.0,112.0,76.0,104.0
