woj,pow,rok,kod,liczba_proc_nk_a,liczba_proc_nk_c,rodziny_wszczete,liczba_osob_ogol,liczba_osob_kobiety,liczba_osob_mezczyzni,liczba_osob_dzieci,odsetek_bezrobotnych_dlugotrwalych,wielkosc_wynagrodzenia,odsetek_rozwodow,liczba_osob_na_1_izbe,przecietna_powiechnia_mieszkania_na_1_osobe
dolnośląskie,boleslawiecki,2023,0201000,42,181,383,493,294.0,95.0,104.0,0.2585,6871,0.3928,0.61,32.4
dolnośląskie,dzierzoniowski,2023,0202000,65,132,291,402,216.0,26.0,160.0,0.3396,6459,0.4966,0.65,28.7
dolnośląskie,gorowski,2023,0204000,23,56,125,273,211.0,23.0,39.0,0.533,6060,0.3388,0.64,30.2
dolnośląskie,glogowski,2023,0203000,36,199,428,770,333.0,72.0,365.0,0.4918,6660,0.3771,0.65,27.9
dolnośląskie,jaworski,2023,0205000,12,59,119,123,93.0,8.0,22.0,0.5452,7059,0.3684,0.64,29.9
dolnośląskie,kamiennogorski,2023,0207000,26,137,171,285,130.0,27.0,128.0,0.3953,6213,0.4196,0.67,28.2
dolnośląskie,karkonoski,2023,0206000,41,83,165,195,111.0,23.0,61.0,0.6051,6287,0.4525,0.55,37.7
dolnośląskie,klodzki,2023,0208000,53,312,465,500,275.0,52.0,173.0,0.5619,6527,0.4356,0.61,32.0
dolnośląskie,legnicki,2023,0209000,10,94,144,236,145.0,15.0,76.0,0.5719,6977,0.3981,0.62,32.8
dolnośląskie,lubanski,2023,0210000,21,86,127,196,91.0,22.0,83.0,0.4346,6215,0.4593,0.62,30.3
dolnośląskie,lubinski,2023,0211000,60,172,429,620,348.0,66.0,206.0,0.3805,12804,0.3672,0.61,30.4
dolnośląskie,lwowecki,2023,0212000,18,94,145,260,120.0,29.0,111.0,0.4778,6194,0.4589,0.62,31.6
dolnośląskie,m. jelenia gora,2023,0261000,32,55,190,198,105.0,39.0,54.0,0.4424,7101,0.4239,0.57,32.5
dolnośląskie,m. legnica,2023,0262000,49,90,358,531,293.0,38.0,200.0,0.5154,6901,0.3873,0.59,31.2
dolnośląskie,m. walbrzych,2023,0265000,61,155,424,476,286.0,25.0,165.0,0.3488,7584,0.5408,0.63,27.9
dolnośląskie,m. wroclaw,2023,0264000,264,624,2350,4223,1931.0,592.0,1700.0,0.422,8334,0.3625,0.54,34.1
dolnośląskie,milicki,2023,0213000,8,54,70,79,54.0,9.0,16.0,0.4614,6083,0.5,0.65,30.4
dolnośląskie,olesnicki,2023,0214000,66,132,283,503,236.0,93.0,174.0,0.463,6496,0.3325,0.63,31.4
dolnośląskie,olawski,2023,0215000,34,94,224,461,194.0,101.0,166.0,0.4546,6871,0.4209,0.62,31.8
dolnośląskie,polkowicki,2023,0216000,31,145,288,525,314.0,34.0,177.0,0.4899,7764,0.3735,0.65,29.5
dolnośląskie,strzelinski,2023,0217000,30,47,146,340,140.0,46.0,154.0,0.5701,7147,0.4527,0.63,31.7
dolnośląskie,trzebnicki,2023,0220000,33,266,370,357,216.0,34.0,107.0,0.4931,6743,0.3226,0.63,33.8
dolnośląskie,walbrzyski,2023,0221000,53,88,149,234,125.0,20.0,89.0,0.5018,6099,0.4785,0.66,29.5
dolnośląskie,wolowski,2023,0222000,12,79,83,114,57.0,7.0,50.0,0.6251,7922,0.4,0.62,30.0
dolnośląskie,wroclawski,2023,0223000,59,297,557,804,417.0,136.0,251.0,0.4058,8214,0.3522,0.57,40.4
dolnośląskie,zgorzelecki,2023,0225000,25,110,228,316,145.0,55.0,116.0,0.5478,6812,0.4882,0.61,30.6
dolnośląskie,zabkowicki,2023,0224000,13,126,164,308,134.0,73.0,101.0,0.4517,6223,0.4385,0.62,32.2
dolnośląskie,zlotoryjski,2023,0226000,7,74,128,292,112.0,76.0,104.0,0.5426,7310,0.3942,0.64,30.1
dolnośląskie,sredzki,2023,0218000,18,75,200,160,81.0,25.0,54.0,0.4673,7322,0.45,0.6,34.7
dolnośląskie,swidnicki,2023,0219000,76,392,644,950,573.0,101.0,276.0,0.4329,6764,0.4882,0.64,30.1
kujawsko - pomorskie,aleksandrowski,2023,0401000,19,74,101,180,83.0,11.0,86.0,0.532,6019,0.2844,0.62,32.2
kujawsko - pomorskie,brodnicki,2023,0402000,26,168,224,367,181.0,23.0,163.0,0.3844,5919,0.2776,0.67,29.6
kujawsko - pomorskie,bydgoski,2023,0403000,73,215,297,648,243.0,113.0,292.0,0.3323,6461,0.5469,0.63,35.3
kujawsko - pomorskie,chelminski,2023,0404000,24,121,173,276,154.0,32.0,90.0,0.5746,5970,0.3377,0.74,26.2
kujawsko - pomorskie,golubsko-dobrzynski,2023,0405000,21,89,165,220,114.0,24.0,82.0,0.628,6678,0.275,0.72,27.8
kujawsko - pomorskie,grudziadzki,2023,0406000,9,79,79,145,65.0,7.0,73.0,0.5571,6220,0.3525,0.71,29.3
kujawsko - pomorskie,inowroclawski,2023,0407000,70,210,397,690,318.0,57.0,315.0,0.5272,6449,0.4859,0.68,26.9
kujawsko - pomorskie,lipnowski,2023,0408000,16,96,118,206,88.0,17.0,101.0,0.535,5658,0.3915,0.73,26.7
kujawsko - pomorskie,m. bydgoszcz,2023,0461000,32,442,676,949,570.0,61.0,318.0,0.3264,7478,0.4654,0.6,28.5
kujawsko - pomorskie,m. grudziadz,2023,0462000,73,82,402,806,320.0,41.0,445.0,0.5403,6034,0.4226,0.62,27.6
kujawsko - pomorskie,m. torun,2023,0463000,50,318,318,384,233.0,40.0,111.0,0.4392,7308,0.359,0.57,30.2
kujawsko - pomorskie,m. wloclawek,2023,0464000,67,228,409,539,341.0,73.0,125.0,0.6298,6687,0.5408,0.63,27.1
kujawsko - pomorskie,mogilenski,2023,0409000,6,51,67,109,61.0,8.0,40.0,0.5469,6386,0.4128,0.69,28.5
kujawsko - pomorskie,nakielski,2023,0410000,32,169,264,398,173.0,56.0,169.0,0.5172,6603,0.573,0.73,26.6
kujawsko - pomorskie,radziejowski,2023,0411000,17,57,57,136,57.0,40.0,39.0,0.6495,6076,0.3864,0.7,29.6
kujawsko - pomorskie,rypinski,2023,0412000,1,41,64,99,54.0,7.0,38.0,0.5115,5844,0.3281,0.7,28.1
kujawsko - pomorskie,sepolenski,2023,0413000,37,138,158,345,141.0,49.0,155.0,0.5479,5892,0.5347,0.74,26.0
kujawsko - pomorskie,torunski,2023,0415000,29,119,171,270,127.0,12.0,131.0,0.4623,6185,0.4394,0.68,31.3
kujawsko - pomorskie,tucholski,2023,0416000,37,87,108,194,101.0,7.0,86.0,0.5096,5840,0.3717,0.68,28.6
kujawsko - pomorskie,wabrzeski,2023,0417000,26,21,58,107,33.0,8.0,66.0,0.6238,6249,0.4124,0.71,27.3
kujawsko - pomorskie,wloclawski,2023,0418000,23,116,185,306,147.0,36.0,123.0,0.6873,5925,0.3696,0.71,29.8
