woj,pow,rok,kod,odsetek_ogol,odsetek_kobiety,odsetek_mezczyzni,odsetek_dzieci,liczba_ludnosci,liczba_ludnosci_mezczyzni,liczba_ludnosci_kobiety,liczba_dzieci
dolnośląskie,boleslawiecki,2023,0201000,0.5625285257873117,0.6508744742085455,0.2236346516007533,0.6015733456732995,87640,42480,45170,17288
dolnośląskie,dzierzoniowski,2023,0202000,0.4243191893603547,0.4333868378812199,0.05790645879732739,0.9790723289683025,94740,44900,49840,16342
dolnośląskie,gorowski,2023,0204000,0.8410351201478743,1.2897310513447433,0.14285714285714285,0.6103286384976526,32460,16100,16360,6390
dolnośląskie,glogowski,2023,0203000,0.9054562558795861,0.7587149692412851,0.1749696233292831,2.150600989865661,85040,41150,43890,16972
dolnośląskie,jaworski,2023,0205000,0.26053802160559203,0.386052303860523,0.03460207612456747,0.24830699774266365,47210,23120,24090,8860
dolnośląskie,kamiennogorski,2023,0207000,0.7068452380952381,0.6280193236714976,0.13761467889908258,1.826744683887541,40320,19620,20700,7007
dolnośląskie,karkonoski,2023,0206000,0.32263401720714757,0.35451932290003196,0.0789564023343632,0.5687115420473615,60440,29130,31310,10726
dolnośląskie,klodzki,2023,0208000,0.3402517863218782,0.36008904019903104,0.07367526211391329,0.6859091269526604,146950,70580,76370,25222
dolnośląskie,legnicki,2023,0209000,0.42885698709794656,0.515647226173542,0.055720653789004454,0.6642775981120531,55030,26920,28120,11441
dolnośląskie,lubanski,2023,0210000,0.3812487842832134,0.34262048192771083,0.08853118712273642,0.9033521985198084,51410,24850,26560,9188
dolnośląskie,lubinski,2023,0211000,0.6027024399727812,0.6505888951205833,0.1336573511543135,1.02263701350278,102870,49380,53490,20144
dolnośląskie,lwowecki,2023,0212000,0.6071929005137786,0.5469462169553327,0.1388888888888889,1.4430577223088925,42820,20880,21940,7692
dolnośląskie,m. jelenia gora,2023,0261000,0.2635782747603834,0.26028755577590484,0.11213341000575043,0.45662100456621,75120,34780,40340,11826
dolnośląskie,m. legnica,2023,0262000,0.5774877650897227,0.6022610483042138,0.08778008778008778,1.223166778790288,91950,43290,48650,16351
dolnośląskie,m. walbrzych,2023,0265000,0.4746235915844052,0.5369883589936162,0.053146258503401364,1.053639846743295,100290,47040,53260,15660
dolnośląskie,m. wroclaw,2023,0264000,0.6267996556535163,0.5412298895678008,0.1867743563856638,1.455541761205531,673740,316960,356780,116795
dolnośląskie,milicki,2023,0213000,0.22191011235955055,0.2993348115299335,0.051223676721684694,0.20706613174582633,35600,17570,18040,7727
dolnośląskie,olesnicki,2023,0214000,0.47221179121291773,0.43302752293577984,0.17877739331026526,0.7788022558410169,106520,52020,54500,22342
dolnośląskie,olawski,2023,0215000,0.5953764690688363,0.48768225238813473,0.2683315621679065,1.0269735214055926,77430,37640,39780,16164
dolnośląskie,polkowicki,2023,0216000,0.8579833306095767,1.009646302250804,0.11299435028248588,1.3294276701216765,61190,30090,31100,13314
dolnośląskie,strzelinski,2023,0217000,0.8137865007180469,0.6613131790269249,0.22308438409311349,1.8828707665973836,41780,20620,21170,8179
dolnośląskie,trzebnicki,2023,0220000,0.4073482428115016,0.4839793860631862,0.07906976744186046,0.5681214824254008,87640,43000,44630,18834
dolnośląskie,walbrzyski,2023,0221000,0.4443600455753893,0.4567044208987943,0.07908264136022143,0.9731029958451782,52660,25290,27370,9146
dolnośląskie,wolowski,2023,0222000,0.2507699076110867,0.24495058014611087,0.03154574132492114,0.5748447919061853,45460,22190,23270,8698
dolnośląskie,wroclawski,2023,0223000,0.42960192359070265,0.43751967264715136,0.1480836236933798,0.5059361835076899,187150,91840,95310,49611
dolnośląskie,zgorzelecki,2023,0225000,0.37115339440920836,0.3301457194899818,0.13343037360504612,0.7757640607236006,85140,41220,43920,14953
dolnośląskie,zabkowicki,2023,0224000,0.5085865257595773,0.4297626683771648,0.24846834581347854,0.9593465045592706,60560,29380,31180,10528
dolnośląskie,zlotoryjski,2023,0226000,0.7188577055637617,0.5389797882579404,0.3832576903681291,1.3811420982735725,40620,19830,20780,7530
