woj,pow,rok,keso,liczba_proc_nk_a,liczba_proc_nk_c,rodziny_wszczete,liczba_osob_ogol,liczba_osob_kobiety,liczba_osob_mezczyzni,liczba_osob_dzieci
dolnośląskie,boleslawiecki,2023,300201011000,42,181,383,493,294.0,95.0,104.0
dolnośląskie,dzierzoniowski,2023,300202011000,65,132,291,402,216.0,26.0,160.0
dolnośląskie,gorowski,2023,300204013000,23,56,125,273,211.0,23.0,39.0
dolnośląskie,glogowski,2023,200203000000,36,199,428,770,333.0,72.0,365.0
dolnośląskie,jaworski,2023,300205023000,12,59,119,123,93.0,8.0,22.0
dolnośląskie,kamiennogorski,2023,300207011000,26,137,171,285,130.0,27.0,128.0
dolnośląskie,karkonoski,2023,300206052000,41,83,165,195,111.0,23.0,61.0
dolnośląskie,klodzki,2023,300208063000,53,312,465,500,275.0,52.0,173.0
dolnośląskie,legnicki,2023,300209011000,10,94,144,236,145.0,15.0,76.0
dolnośląskie,lubanski,2023,300210033000,21,86,127,196,91.0,22.0,83.0
dolnośląskie,lubinski,2023,300211011000,60,172,429,620,348.0,66.0,206.0
dolnośląskie,lwowecki,2023,300212013000,18,94,145,260,120.0,29.0,111.0
dolnośląskie,m. jelenia gora,2023,250261011000,32,55,190,198,105.0,39.0,54.0
dolnośląskie,m. legnica,2023,250262011000,49,90,358,531,293.0,38.0,200.0
dolnośląskie,m. walbrzych,2023,250265011000,61,155,424,476,286.0,25.0,165.0
dolnośląskie,m. wroclaw,2023,250264011000,264,624,2350,4223,1931.0,592.0,1700.0
dolnośląskie,milicki,2023,300213012000,8,54,70,79,54.0,9.0,16.0
dolnośląskie,olesnicki,2023,300214023000,66,132,283,503,236.0,93.0,174.0
dolnośląskie,olawski,2023,300215022000,34,94,224,461,194.0,101.0,166.0
dolnośląskie,polkowicki,2023,300216013000,31,145,288,525,314.0,34.0,177.0
dolnośląskie,strzelinski,2023,300217012000,30,47,146,340,140.0,46.0,154.0
dolnośląskie,trzebnicki,2023,300220013000,33,266,370,357,216.0,34.0,107.0
dolnośląskie,walbrzyski,2023,300221011000,53,88,149,234,125.0,20.0,89.0
dolnośląskie,wolowski,2023,300222013000,12,79,83,114,57.0,7.0,50.0
dolnośląskie,wroclawski,2023,300223012000,59,297,557,804,417.0,136.0,251.0
dolnośląskie,zgorzelecki,2023,300225033000,25,110,228,316,145.0,55.0,116.0
dolnośląskie,zabkowicki,2023,300224013000,13,126,164,308,134.0,73.0,101.0
dolnośląskie,zlotoryjski,2023,300226032000,7,74,128,292,112.0,76.0,104.0
dolnośląskie,sredzki,2023,300218012000,18,75,200,160,81.0,25.0,54.0
dolnośląskie,swidnicki,2023,300219032000,76,392,644,950,573.0,101.0,276.0
kujawsko - pomorskie,aleksandrowski,2023,200401000000,19,74,101,180,83.0,11.0,86.0
kujawsko - pomorskie,brodnicki,2023,300402022000,26,168,224,367,181.0,23.0,163.0
kujawsko - pomorskie,bydgoski,2023,300403012000,73,215,297,648,243.0,113.0,292.0
kujawsko - pomorskie,chelminski,2023,200404000000,24,121,173,276,154.0,32.0,90.0
kujawsko - pomorskie,golubsko-dobrzynski,2023,300405022000,21,89,165,220,114.0,24.0,82.0
kujawsko - pomorskie,grudziadzki,2023,300406012000,9,79,79,145,65.0,7.0,73.0
kujawsko - pomorskie,inowroclawski,2023,300407022000,70,210,397,690,318.0,57.0,315.0
kujawsko - pomorskie,lipnowski,2023,300408022000,16,96,118,206,88.0,17.0,101.0
kujawsko - pomorskie,m. bydgoszcz,2023,250461011000,32,442,676,949,570.0,61.0,318.0
kujawsko - pomorskie,m. grudziadz,2023,250462011000,73,82,402,806,320.0,41.0,445.0
kujawsko - pomorskie,m. torun,2023,250463011000,50,318,318,384,233.0,40.0,111.0
kujawsko - pomorskie,m. wloclawek,2023,250464011000,67,228,409,539,341.0,73.0,125.0
kujawsko - pomorskie,mogilenski,2023,300409012000,6,51,67,109,61.0,8.0,40.0
kujawsko - pomorskie,nakielski,2023,300410013000,32,169,264,398,173.0,56.0,169.0
kujawsko - pomorskie,radziejowski,2023,300411022000,17,57,57,136,57.0,40.0,39.0
kujawsko - pomorskie,rypinski,2023,300412022000,1,41,64,99,54.0,7.0,38.0
kujawsko - pomorskie,sepolenski,2023,300413013000,37,138,158,345,141.0,49.0,155.0
kujawsko - pomorskie,torunski,2023,300415011000,29,119,171,270,127.0,12.0,131.0
kujawsko - pomorskie,tucholski,2023,300416012000,37,87,108,194,101.0,7.0,86.0
kujawsko - pomorskie,wabrzeski,2023,300417022000,26,21,58,107,33.0,8.0,66.0
kujawsko - pomorskie,wloclawski,2023,300418022000,23,116,185,306,147.0,36.0,123.0
kujawsko - pomorskie,swiecki,2023,300414012000,33,123,210,381,160.0,39.0,182.0
kujawsko - pomorskie,zninski,2023,300419013000,46,183,255,499,229.0,60.0,210.0
lubelskie,bialski,2023,200601000000,40,161,270,393,233.0,45.0,115.0
lubelskie,bilgorajski,2023,300602022000,33,154,200,404,189.0,68.0,147.0
lubelskie,hrubieszowski,2023,300604022000,13,66,142,202,126.0,22.0,54.0
lubelskie,janowski,2023,300605012000,5,109,104,173,110.0,30.0,33.0
lubelskie,krasnostawski,2023,300606022000,24,83,117,153,87.0,19.0,47.0
lubelskie,krasnicki,2023,300607023000,22,78,134,220,137.0,26.0,57.0
lubelskie,lubartowski,2023,300608022000,38,147,223,370,186.0,21.0,163.0
lubelskie,lubelski,2023,300609013000,57,198,390,571,286.0,51.0,234.0
lubelskie,m. biala podlaska,2023,250661011000,13,103,168,338,148.0,11.0,179.0
lubelskie,m. chelm,2023,250662011000,21,55,131,167,96.0,10.0,61.0
lubelskie,m. lublin,2023,250663011000,129,672,1000,1348,811.0,117.0,420.0
lubelskie,m. zamosc,2023,250664011000,4,51,181,219,162.0,23.0,34.0
lubelskie,opolski,2023,300612012000,55,159,218,362,201.0,51.0,110.0
lubelskie,parczewski,2023,300613012000,15,42,86,109,63.0,13.0,33.0
lubelskie,pulawski,2023,300614022000,78,239,374,566,332.0,65.0,169.0
lubelskie,radzynski,2023,300615022000,40,69,91,180,104.0,26.0,50.0
lubelskie,rycki,2023,300616011000,16,106,141,242,127.0,23.0,92.0
lubelskie,tomaszowski,2023,300618022000,28,60,111,244,98.0,25.0,121.0
lubelskie,wlodawski,2023,300619022000,6,39,94,129,85.0,13.0,31.0
lubelskie,zamojski,2023,300620012000,18,123,234,477,222.0,58.0,197.0
lubelskie,lukowski,2023,300611032000,13,178,267,556,251.0,50.0,255.0
lubelskie,leczynski,2023,300610012000,45,96,221,342,204.0,47.0,91.0
lubelskie,swidnicki,2023,300617022000,27,171,228,474,199.0,80.0,195.0
lubelskie,chelmski,2023,300603022000,27,86,175,279,150.0,16.0,113.0
lubuskie,gorzowski,2023,300801022000,13,105,156,153,103.0,21.0,29.0
lubuskie,krosnienski,2023,300802022000,19,62,93,219,110.0,42.0,67.0
lubuskie,m. gorzow wielkopolski,2023,250861011000,44,227,331,632,268.0,38.0,326.0
lubuskie,m. zielona gora,2023,250862011000,191,188,680,1258,451.0,62.0,745.0
lubuskie,miedzyrzecki,2023,300803012000,29,166,262,766,308.0,259.0,199.0
lubuskie,nowosolski,2023,300804023000,48,254,342,422,260.0,57.0,105.0
lubuskie,strzelecko-drezdenecki,2023,300806013000,37,200,162,275,134.0,63.0,78.0
lubuskie,sulecinski,2023,300807012000,7,21,82,99,65.0,14.0,20.0
lubuskie,slubicki,2023,300805013000,5,38,77,84,54.0,9.0,21.0
lubuskie,wschowski,2023,300812013000,11,102,112,150,83.0,29.0,38.0
lubuskie,zielonogorski,2023,300809013000,51,178,250,477,226.0,102.0,149.0
lubuskie,swiebodzinski,2023,300808012000,20,78,121,303,117.0,88.0,98.0
lubuskie,zaganski,2023,300810032000,28,105,174,243,116.0,49.0,78.0
lubuskie,zarski,2023,300811032000,96,110,243,365,182.0,40.0,143.0
mazowieckie,bialobrzeski,2023,301401013000,0,66,96,128,82.0,16.0,30.0
mazowieckie,ciechanowski,2023,201402000000,12,321,420,467,378.0,51.0,38.0
mazowieckie,garwolinski,2023,301403032000,17,195,348,499,307.0,59.0,133.0
mazowieckie,gostyninski,2023,301404011000,5,57,84,122,60.0,23.0,39.0
mazowieckie,grodziski,2023,301405021000,46,117,186,239,121.0,13.0,105.0
mazowieckie,grojecki,2023,301406012000,23,133,235,284,170.0,36.0,78.0
mazowieckie,kozienicki,2023,301407032000,8,89,256,342,234.0,52.0,56.0
mazowieckie,legionowski,2023,301408022000,33,202,313,438,252.0,69.0,117.0
mazowieckie,lipski,2023,301409012000,1,48,91,156,121.0,34.0,1.0
mazowieckie,m. ostroleka,2023,251461011000,11,81,138,138,101.0,11.0,26.0
mazowieckie,m. plock,2023,251462011000,64,236,435,517,372.0,51.0,94.0
mazowieckie,m. radom,2023,251463011000,45,567,1617,1617,1337.0,198.0,82.0
mazowieckie,m. siedlce,2023,251464011000,32,76,172,219,118.0,36.0,65.0
mazowieckie,m. st. warszawa,2023,301465128000,473,1530,3963,6672,2971.0,639.0,3062.0
mazowieckie,makowski,2023,301411022000,5,64,110,155,88.0,27.0,40.0
mazowieckie,minski,2023,301412042000,76,200,406,530,367.0,47.0,116.0
mazowieckie,mlawski,2023,301413022000,18,108,248,321,190.0,29.0,102.0
mazowieckie,nowodworski,2023,301414011000,16,141,247,297,203.0,25.0,69.0
mazowieckie,ostrowski,2023,301416022000,8,91,177,184,150.0,24.0,10.0
mazowieckie,ostrolecki,2023,301415042000,25,136,213,291,184.0,40.0,67.0
mazowieckie,otwocki,2023,301417032000,41,108,300,375,241.0,49.0,85.0
mazowieckie,piaseczynski,2023,301418013000,84,255,504,757,402.0,95.0,260.0
mazowieckie,pruszkowski,2023,301421033000,50,151,280,386,211.0,66.0,109.0
mazowieckie,przasnyski,2023,301422023000,8,74,151,194,131.0,14.0,49.0
mazowieckie,przysuski,2023,301423012000,1,33,65,69,57.0,10.0,2.0
mazowieckie,pultuski,2023,301424012000,3,72,126,152,111.0,12.0,29.0
mazowieckie,plocki,2023,301419132000,170,283,435,679,369.0,102.0,208.0
mazowieckie,plonski,2023,301420032000,15,157,288,315,250.0,29.0,36.0
mazowieckie,radomski,2023,301425022000,30,263,512,752,446.0,94.0,212.0
mazowieckie,siedlecki,2023,301426012000,23,118,204,293,174.0,45.0,74.0
mazowieckie,sierpecki,2023,301427022000,5,71,139,155,120.0,13.0,22.0
mazowieckie,sochaczewski,2023,301428022000,30,189,389,519,365.0,70.0,84.0
mazowieckie,sokolowski,2023,301429022000,6,92,193,255,174.0,33.0,48.0
mazowieckie,szydlowiecki,2023,301430012000,5,54,121,125,91.0,18.0,16.0
mazowieckie,warszawski zachodni,2023,301432072000,29,109,221,295,184.0,29.0,82.0
mazowieckie,wolominski,2023,301434052000,150,385,674,1032,577.0,79.0,376.0
mazowieckie,wyszkowski,2023,301435022000,54,169,322,405,192.0,45.0,168.0
mazowieckie,wegrowski,2023,301433022000,25,116,207,231,184.0,15.0,32.0
mazowieckie,zwolenski,2023,301436012000,11,45,100,123,91.0,14.0,18.0
